,dataset_name,neighbors,train_perc,trial_number,acc_hols_labels_features,rec_hols_labels_features,prec_hols_labels_features,p,Î±
0,contact-high-school,7,0.01,1,92.88025889967638,92.90691774136907,93.46009442554158,1.0,0.7
1,contact-high-school,7,0.05,1,95.50173010380622,95.01193516998114,95.67060975663126,1.0,0.7
2,contact-high-school,7,0.1,1,98.0392156862745,97.84507947639085,98.20124784282491,1.0,0.7
3,contact-high-school,7,0.01,2,94.8220064724919,94.18823585490253,95.38456169954885,2.0,0.9
4,contact-high-school,7,0.05,2,99.65397923875432,99.68253968253968,99.64157706093191,1.0,0.9
5,contact-high-school,7,0.1,2,98.82352941176471,98.87438129373614,98.84366662144441,2.0,0.9
6,contact-high-school,7,0.01,3,97.41100323624595,96.97391627216189,97.78360041517935,1.0,0.9
7,contact-high-school,7,0.05,3,98.96193771626297,98.66666666666666,99.0990990990991,10.0,0.9
8,contact-high-school,7,0.1,3,98.82352941176471,98.72325741890961,98.8479262672811,1.0,0.9
9,contact-high-school,7,0.01,4,88.3495145631068,87.68296805577506,93.43290102164032,1.0,0.9
10,contact-high-school,7,0.05,4,99.30795847750865,99.34413580246913,99.30555555555556,2.0,0.9
11,contact-high-school,7,0.1,4,98.82352941176471,98.60646599777034,98.7938129700582,1.0,0.9
12,contact-high-school,7,0.01,5,93.20388349514563,92.24369585566694,94.5384379594906,2.0,0.9
13,contact-high-school,7,0.05,5,97.92387543252595,97.73765432098764,97.96441113645416,1.0,0.9
14,contact-high-school,7,0.1,5,98.0392156862745,97.80667701863354,97.86890064667843,1.0,0.9
